TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,4,5,13,42,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,4,7,14,17,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,6,8,12,56,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,6,12,16,14,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,7,17,19,38,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,2,16,13,30,7XX GRANVILLE ST,Central Business District,491405.3528,5458855.5609
Other Theft,2026,5,15,3,0,7XX GRANVILLE ST,Central Business District,491405.3528,5458855.5609
Other Theft,2026,7,4,1,51,7XX GRANVILLE ST,Central Business District,491405.3528,5458855.5609
Other Theft,2026,1,12,18,52,7XX GRANVILLE ST,Central Business District,491407.7996,5458858.0224
Other Theft,2026,6,22,4,46,7XX GRANVILLE ST,Central Business District,491407.7996,5458858.0224
Other Theft,2026,7,1,5,0,7XX GRANVILLE ST,Central Business District,491407.7996,5458858.0224
Other Theft,2026,7,13,18,17,7XX GRANVILLE ST,Central Business District,491407.7996,5458858.0224
Other Theft,2026,3,3,15,30,7XX GREAT NORTHERN WAY,Strathcona,493528.0207,5457109.9159
Other Theft,2026,7,3,18,20,7XX HAMILTON ST,Central Business District,491585.1434,5458472.449
Other Theft,2026,3,17,13,42,7XX HAMILTON ST,Central Business District,491587.1107,5458474.387
Other Theft,2026,7,27,15,2,7XX HAMILTON ST,Central Business District,491587.1107,5458474.387
Other Theft,2026,2,12,15,53,7XX HELMCKEN ST,Central Business District,490932.5209,5458388.1695
Other Theft,2026,6,22,0,0,7XX HELMCKEN ST,Central Business District,490932.5209,5458388.1695
Other Theft,2026,7,26,10,0,7XX HOMER ST,Central Business District,491525.0727,5458563.5625
Other Theft,2026,5,28,9,22,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
